date,year,r_real,r_syn,r_qqq,stopped
2018-01-03,2018,0.007171101132632085,0.006547370877339498,0.002443149783875276,False
2018-01-04,2018,-0.0021756329113921113,-0.003040895524059039,-0.0007475238273220164,True
2018-01-08,2018,-8.6760367863703e-05,-0.0006151685051803739,6.16067028094136e-05,True
2018-01-26,2018,0.01572467823167334,0.015596535780479393,0.005435909275086415,False
2018-02-01,2018,-0.007497181510709994,-0.008392669042617018,-0.002537322239924533,True
2018-02-13,2018,-0.007509704233721548,-0.008399830847168088,-0.0025397216746816387,True
2018-02-14,2018,0.030859244399866537,0.031103514423707648,0.010523374930154539,False
2018-02-16,2018,-0.001873895346952037,-0.00296645528497017,-0.0007226738934056343,True
2018-02-20,2018,0.0048255382331108265,0.003557292360285703,0.0014503263234229014,True
2018-02-21,2018,-0.004297560680346146,-0.005113696036356785,-0.001439971200575818,True
2018-03-07,2018,-0.010999238912988485,-0.010740755272568991,-0.003324625979577278,True
2018-03-09,2018,0.019141147823843463,0.019238081015207433,0.006635236598568017,False
2018-03-23,2018,-0.012296532431201324,-0.012707543944919885,-0.0039850407700324775,True
2018-04-04,2018,0.08037129273262411,0.08069069923108776,0.026457399103138934,False
2018-04-09,2018,0.004772759652372338,0.00410256828846336,0.0016315261044175244,True
2018-04-12,2018,-0.00403881263100947,-0.004677634621492266,-0.0012942191544433879,True
2018-04-17,2018,0.011027646577563166,0.010860274353806565,0.0038717483363579497,False
2018-04-26,2018,-0.010944383259911872,-0.011891370189536543,-0.0037108769707268063,True
2018-05-10,2018,0.0012729475916390953,0.0002657192709573326,0.0003551136363637575,True
2018-05-14,2018,-0.0026672220183571183,-0.0032614652245874557,-0.0008211625315268645,True
2018-05-16,2018,-0.002502899700872918,-0.0033442068382287574,-0.000848789185322607,True
2018-05-17,2018,-0.00852699213354946,-0.008917607273705807,-0.0027132240179307265,True
2018-06-01,2018,0.004320445981520704,0.0044295841616067925,0.0017401647905304074,False
2018-06-05,2018,-0.002637652489284492,-0.003028570607785363,-0.0007434093898324168,True
2018-06-12,2018,-0.00327332242225864,-0.003705318905425336,-0.0009693790271997349,True
2018-06-29,2018,-0.004453579993148216,-0.005135755309014866,-0.001447345568227898,True
2018-07-06,2018,0.019712662880053466,0.01973484725876631,0.0067986230636833955,False
2018-07-11,2018,-0.007037747920665249,-0.007567403086259783,-0.002260908885371782,True
2018-07-12,2018,0.019272955186461882,0.019026576266697372,0.0065656565656566634,False
2018-07-17,2018,0.021013597033374465,0.020967722050233475,0.007203886748199162,False
2018-07-20,2018,-0.005786508299071236,-0.005957773626714546,-0.0017222222222221806,True
2018-08-02,2018,0.03542930098946684,0.035893731798227656,0.01208461767726754,False
2018-08-13,2018,-0.004174742806023812,-0.004839233423560385,-0.0013482280431432736,True
2018-08-21,2018,-0.0030427208928954785,-0.003783588283307803,-0.0009955201592832807,True
2018-08-24,2018,-0.0026662716634573425,-0.0032666984428517446,-0.0008229098090849485,True
2018-08-29,2018,0.010319341793334047,0.009880097951782485,0.0035474334856220313,False
2018-08-31,2018,-0.003992578339747199,-0.0047651553677647614,-0.001323469254071341,True
2018-09-20,2018,-0.00158432954054466,-0.0021006718507743153,-0.00043374539145513147,True
2018-09-27,2018,-0.006237306996800807,-0.006583427848296552,-0.001931537718639298,True
2018-09-28,2018,-0.006873334268481024,-0.007244194413006033,-0.0021526955773163436,True
2018-10-02,2018,-0.0022493751735631617,-0.0032908923613741196,-0.0008309878032435325,True
2018-10-09,2018,-0.009022811344020054,-0.009095958858034136,-0.002773002052021467,True
2018-10-12,2018,-0.0021727019498606337,-0.002836518651610475,-0.0006793008957560742,True
2018-11-07,2018,0.02510590858416939,0.026266350744155977,0.008941920644048418,False
2018-11-26,2018,-0.006938227394807428,-0.007298604018848942,-0.0021709107828484786,True
2018-11-30,2018,-0.0030030030030028243,-0.003291397595506317,-0.0008311564948942918,True
2018-12-12,2018,-0.0023002927645336957,-0.0031371477318672173,-0.0007796569509415097,True
2018-12-14,2018,-0.0063256020419486525,-0.00611511610423574,-0.0017748536097560441,True
2018-12-18,2018,-0.004710070348351469,-0.005884416828613603,-0.00169768611670007,True
2019-01-04,2019,0.02271512560128297,0.02437283938174142,0.00832150690233524,False
2019-01-07,2019,0.01355586197016656,0.013754513128683721,0.004828155771551934,False
2019-01-15,2019,-0.004739336492890933,-0.005617185375565858,-0.0016083137448966722,True
2019-01-17,2019,0.01702425373134342,0.016829494183579066,0.005842299131373796,False
2019-01-25,2019,-0.0029037301764573975,-0.0035768351168067084,-0.0009264697867907845,True
2019-02-04,2019,0.008091635140815567,0.008112074232652722,0.002961909839464427,False
2019-02-20,2019,-0.001966568338249819,-0.0023611445574932325,-0.0005206525511974869,True
2019-02-22,2019,-0.007506914263136988,-0.008249712095038641,-0.002489429481610239,True
2019-03-13,2019,0.00073488884806161,0.00021620271121860558,0.0003386195609234033,True
2019-03-15,2019,0.002901178603807786,0.0025745753359366582,0.0011235955056179137,True
2019-03-18,2019,-0.004271222637479921,-0.004737443109617634,-0.0013142074210775734,True
2019-03-21,2019,0.021515515172295663,0.021551947076736824,0.00739581608434059,False
2019-03-26,2019,-0.004187020237264361,-0.004622287014415893,-0.001275722447168448,True
2019-04-10,2019,-0.004041383769802787,-0.0046837002750992115,-0.001296246286794589,True
2019-04-22,2019,0.004146151449049507,0.0036847771025562367,0.0014926964495147743,False
2019-05-03,2019,0.00909633164330459,0.008929987928557504,0.003232866620245467,False
2019-05-15,2019,0.015947389486178132,0.01610665645974665,0.005604087687489656,False
2019-06-07,2019,-0.007169312169312048,-0.007889443725308398,-0.0023687544758442813,False
2019-06-14,2019,-0.00559293633498581,-0.00604933308911757,-0.0017528483786152238,True
2019-06-17,2019,-0.006433649289099508,-0.007140413509116849,-0.0021179537308568808,True
2019-06-18,2019,-0.010509795623269702,-0.011318400379134208,-0.003518498773856571,True
2019-06-21,2019,-0.006411258795934294,-0.006656268712823854,-0.001955912671142257,True
2019-06-27,2019,-0.0009073233959817628,-0.0012290840737348755,-0.0001430484864720638,True
2019-07-02,2019,-0.004186695611722913,-0.004515998722005343,-0.0012402037100562868,True
2019-07-09,2019,0.013260890010622806,0.013165098000225717,0.004633529907329459,False
2019-07-24,2019,0.015100914766952078,0.014975687402004523,0.005231149822192416,False
2019-07-30,2019,-0.003281318360799257,-0.003737536771403515,-0.0009801392829507094,True
2019-08-13,2019,-0.010778635778635692,-0.011274442277881524,-0.003503742634177409,True
2019-08-16,2019,-0.012786002691789977,-0.013974636682763974,-0.00441097364174281,True
2019-09-05,2019,-0.005156153370439287,-0.005795307634049207,-0.0016678828312312044,True
2019-09-11,2019,-0.0006988997365566796,-0.0008,0.0,True
