claim,verdict,detail
C1_gap_ladder,REFUTED,Q1 13.6% / base 18.8% / Q5 20.5% (n=44/44)
C2_up3_contraction,WEAKENED,up3 14.3% vs base 18.8% (n=14)
C3_thrust_pause,CONFIRMED,trend-up 37.5% vs base 21.6% (n=8)
C4_playbook_all,REFUTED,"med -33.8 bps, hit 39%, H1/H2 -36.3/-32.0 (n=54)"
C5_pm_check,REFUTED,bounced -41.9 (n=25) vs not -24.1 (n=29)
