claim,verdict,detail
C1_gap_ladder,CONFIRMED,Q1 30.2% / base 22.9% / Q5 20.9% (n=43/43)
C2_up3_contraction,CONFIRMED,up3 8.8% vs base 22.9% (n=34)
C3_thrust_pause,REFUTED,trend-up 6.2% vs base 18.2% (n=16)
C4_playbook_all,CONFIRMED,"med +15.4 bps, hit 59%, H1/H2 +22.7/+10.2 (n=46)"
C5_pm_check,REFUTED,bounced +2.9 (n=15) vs not +17.3 (n=31)
