date,year,open,gap_pct,pm_range_pct,pos,dist_hi,dist_lo,touch_hi,touch_lo,brk_hi,brk_lo,morn_ret,back_in_hi,back_in_lo,max_up,max_dn,pm_tight,pm_wide
2018-01-03,2018,158.62,0.09465513977409135,0.14513788098694907,0.6086956521739292,0.05673937712773469,0.08833922261484162,True,False,True,False,53.58718950951857,False,False,0.6367418988778129,0.006304375236410031,False,False
2018-01-04,2018,160.59,0.35620547431569616,0.48743907011623616,0.7179487179487198,0.13699483155862335,0.34993438730237525,False,False,False,False,-5.604334018307622,False,False,0.12454075596237679,0.3160221682545594,False,False
2018-01-05,2018,161.05,0.46160563907429175,0.3617990144095715,0.4827586206896704,0.18627755355478115,0.1741618461155614,False,True,False,False,8.072027320706887,False,False,0.12418503570319483,0.17385904998448165,False,False
2018-01-08,2018,161.9,0.012354830738825484,0.2656288608846101,0.39534883720933306,0.16059295861643452,0.10511346070611882,True,False,True,False,27.486102532428003,True,False,0.28412600370599783,0.02470660901791044,False,False
2018-01-09,2018,162.85,0.20921789428343107,0.22152482924128586,0.6111111111110848,0.08596868283696768,0.13527639426920146,False,True,False,True,-20.970217992016813,False,True,0.06754682222904762,0.47896837580595486,False,False
2018-01-10,2018,161.81,-0.47973430100252124,0.5350882588105077,0.43678160919539477,0.30282430010506456,0.23539614693675048,False,True,False,True,-18.54026327173908,False,True,0.1730424572028877,0.42642605524998434,False,False
2018-01-11,2018,162.48,0.18497965223824853,0.3699593044765041,0.4999999999999763,0.18463810930575697,0.18497965223824853,False,False,False,False,-1.2309207287042323,False,False,0.17232890201870354,0.0984736582964052,False,False
2018-01-12,2018,163.03,-0.1653398652786353,0.5572565829761155,0.05494505494506764,0.5275102741826521,0.030678610872514334,False,True,False,False,49.9907992394033,False,False,0.5029749125927685,0.055204563577260224,False,False
2018-01-16,2018,165.55,0.6566547090654851,0.4073691250684112,0.6716417910447856,0.1328903654485014,0.27256208358572565,True,False,True,False,29.296285110238518,True,False,0.5225007550588856,0.006040471156765204,False,False
2018-01-17,2018,164.77,0.47563875846088344,0.3353863040429364,0.3818181818181884,0.20634824300540533,0.12761302868256053,False,True,False,True,-31.86259634642252,False,True,0.06069065970746301,0.4491108818352907,False,False
