claim,verdict,detail
C1_gap_ladder,REFUTED,Q1 6.8% / base 15.3% / Q5 7.0% (n=44/43)
C2_up3_contraction,REFUTED,up3 20.5% vs base 15.3% (n=39)
C3_thrust_pause,REFUTED,trend-up 18.8% vs base 19.4% (n=16)
C4_playbook_all,WEAKENED,"med +8.8 bps, hit 55%, H1/H2 +11.4/+6.2 (n=44)"
C5_pm_check,REFUTED,bounced +6.2 (n=7) vs not +11.4 (n=37)
