year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
2018,0.0,0.819672131147541,2.0491803278688523,2.459016393442623,3.278688524590164,3.278688524590164,1.639344262295082,3.278688524590164,2.459016393442623,1.639344262295082,4.098360655737705,2.8688524590163933,1.639344262295082,1.639344262295082,2.8688524590163933,5.327868852459016,1.2295081967213115,2.8688524590163933,3.278688524590164,2.8688524590163933,2.459016393442623,4.508196721311475,6.557377049180328,4.918032786885246,7.377049180327869,24.59016393442623
2019,0.8097165991902834,1.6194331983805668,2.42914979757085,2.834008097165992,2.42914979757085,2.42914979757085,6.0728744939271255,2.42914979757085,2.42914979757085,2.42914979757085,2.834008097165992,2.834008097165992,3.643724696356275,1.6194331983805668,0.8097165991902834,1.214574898785425,2.0242914979757085,2.42914979757085,3.643724696356275,2.42914979757085,4.8582995951417,3.2388663967611335,4.8582995951417,4.8582995951417,10.121457489878543,22.672064777327936
2020,0.0,0.8163265306122449,0.8163265306122449,1.6326530612244898,4.081632653061225,0.8163265306122449,2.857142857142857,4.8979591836734695,3.6734693877551026,1.2244897959183674,2.857142857142857,1.6326530612244898,1.2244897959183674,2.0408163265306123,3.2653061224489797,1.2244897959183674,2.857142857142857,2.857142857142857,4.081632653061225,2.0408163265306123,3.6734693877551026,2.857142857142857,4.081632653061225,4.081632653061225,7.346938775510205,33.06122448979592
2021,0.0,1.2048192771084338,1.2048192771084338,2.4096385542168677,4.016064257028113,2.4096385542168677,2.0080321285140563,1.6064257028112447,2.8112449799196786,1.6064257028112447,5.220883534136546,1.6064257028112447,1.2048192771084338,1.6064257028112447,3.614457831325301,1.6064257028112447,1.6064257028112447,3.2128514056224895,1.6064257028112447,3.2128514056224895,4.016064257028113,5.220883534136546,5.622489959839357,4.819277108433735,7.630522088353414,28.915662650602407
2022,1.2096774193548387,4.032258064516129,2.82258064516129,3.6290322580645165,4.032258064516129,2.0161290322580645,3.6290322580645165,2.82258064516129,1.6129032258064515,2.82258064516129,1.6129032258064515,2.0161290322580645,2.4193548387096775,3.6290322580645165,2.82258064516129,1.2096774193548387,1.6129032258064515,2.82258064516129,4.435483870967742,0.8064516129032258,1.6129032258064515,2.82258064516129,4.435483870967742,7.258064516129033,8.064516129032258,23.790322580645164
2023,1.2195121951219512,1.2195121951219512,4.0650406504065035,3.2520325203252036,2.0325203252032518,0.40650406504065045,2.8455284552845526,2.0325203252032518,3.2520325203252036,2.8455284552845526,2.4390243902439024,1.6260162601626018,1.2195121951219512,3.2520325203252036,4.0650406504065035,2.4390243902439024,2.4390243902439024,2.4390243902439024,4.0650406504065035,2.4390243902439024,6.504065040650407,4.471544715447155,8.536585365853659,3.6585365853658534,6.910569105691057,20.32520325203252
2024,0.8097165991902834,0.8097165991902834,2.0242914979757085,3.643724696356275,2.42914979757085,4.4534412955465585,2.834008097165992,2.834008097165992,2.42914979757085,2.0242914979757085,2.0242914979757085,3.2388663967611335,1.6194331983805668,2.42914979757085,2.42914979757085,2.42914979757085,2.42914979757085,4.8582995951417,2.42914979757085,3.2388663967611335,4.048582995951417,5.668016194331984,3.643724696356275,6.477732793522267,3.2388663967611335,25.506072874493928
2025+,0.8097165991902834,1.6194331983805668,3.643724696356275,2.834008097165992,2.0242914979757085,2.0242914979757085,3.2388663967611335,4.048582995951417,1.6194331983805668,3.2388663967611335,3.643724696356275,2.42914979757085,2.0242914979757085,2.834008097165992,1.6194331983805668,2.834008097165992,2.42914979757085,4.4534412955465585,4.048582995951417,3.2388663967611335,4.8582995951417,3.643724696356275,4.4534412955465585,3.2388663967611335,5.263157894736842,23.88663967611336
