claim,verdict,detail
C1_gap_ladder,CONFIRMED,Q1 34.1% / base 19.6% / Q5 11.4% (n=44/44)
C2_up3_contraction,WEAKENED,up3 12.2% vs base 19.6% (n=41)
C3_thrust_pause,REFUTED,trend-up 9.1% vs base 22.4% (n=11)
C4_playbook_all,REFUTED,"med -7.2 bps, hit 47%, H1/H2 +0.9/-7.2 (n=45)"
C5_pm_check,CONFIRMED,bounced +45.3 (n=14) vs not -9.2 (n=31)
