minute,event_med_pct,rest_med_pct
0,0.0,0.0
1,0.00859963537547248,0.005061879034196082
2,0.028388691281322487,0.0038991984247171985
3,0.04515819480117589,-0.00020678067077506412
4,0.07948471974783544,-0.01863355063674299
5,0.043603242789314045,-0.02500207841065194
6,0.0015901312918398247,-0.012755310754475335
7,0.03960396039603964,-0.01817181833568826
8,0.06855155578591177,-0.007768736369834217
9,-0.0066471206888851775,-0.017833663330341087
10,-0.026405257294748186,-0.023550053182153086
11,0.005015967496535545,-0.022839527114859592
12,0.015664868705789203,-0.01483823103011761
13,-0.02177344728104824,-0.005944359538428978
14,-0.009979010758498497,-0.010260096449599132
15,-0.00976816879396658,0.0004921151973147353
16,-0.006457950848726135,-0.0023314734771462398
17,-0.04953858347959139,0.00646804104034171
18,-0.00968960950874509,0.0016727145851436198
19,-0.028304406141399507,0.008360236129378862
20,0.04909462478017712,0.0167169403810008
21,0.054872877833034295,0.019353409886879724
22,0.06665446084270776,0.014305330627495394
23,0.07648946607028417,0.0190213658724514
24,0.1382442146890872,0.014941613335728299
25,0.09123055162658655,0.010643940315280265
26,0.08663953051182283,-0.004143868576123033
27,0.1320871440753102,0.004362802330803994
28,0.14965330318095216,0.0029340727644211473
29,0.11940491173718648,0.004646020556109409
30,0.08304448295783917,0.005275617792477316
31,0.1215517384725473,0.03304942504501751
32,0.06318601964183657,0.008618975068575008
33,0.06484976471174964,0.00340661568289935
34,0.05853106968856103,0.006577909975313823
35,0.0812391681109359,0.0147172462296008
36,0.10789073610906197,0.03685020367181213
37,0.11915077989603784,0.02808375859092438
38,0.050368284228774485,0.025598214520916596
39,0.03971692663200521,0.02769458246670853
40,-0.008067899441699389,0.012949331774847472
41,0.08028958684882515,0.0033826407466464037
42,0.0557944586576653,0.030054311649863052
43,0.08314309066825842,0.01087667061140385
44,0.1388844029585723,0.029758919171918308
45,0.12560164648196537,0.0033184669925856447
46,0.12009150766254528,0.006282222321529751
47,0.1058395190652206,-0.0020975963891167737
48,0.09083416037274361,0.0016547738604044682
49,0.16317226563460352,0.015078553126179894
50,0.1547544954498825,0.02286381640488333
51,0.16310842673039616,0.006411401391526184
52,0.20521791787919685,0.00879826779992543
53,0.21414676409525768,0.025439115532688295
54,0.22385904101676068,0.019181926115574566
55,0.23815563259208528,0.0135701706030944
56,0.22263564000122305,0.009542052329802875
57,0.20978152128312555,0.007357071678704141
58,0.2125175266692425,0.033854632785357275
59,0.20815180559587976,0.03294628585814863
60,0.20486712882727964,0.031613984176970256
61,0.2146061251492526,-0.016071656375904464
62,0.20400057770075808,0.014815870445750168
63,0.2178332849259501,0.048157173898633054
64,0.2452641430277236,0.04934217319396694
65,0.24661086215156391,0.05705241073367118
66,0.22265437839972257,0.051719859473686736
67,0.22751476425597605,0.04141060842069999
68,0.217994642914765,0.017366515496464174
69,0.2231778346306612,0.03397448600835906
70,0.20815180559587976,0.04020347314303008
71,0.21815576973169826,0.022860453376893908
72,0.2065382257075532,0.011372808081444585
73,0.1807111226882041,0.006904024680653986
74,0.1895580589254875,0.02326524315391376
75,0.20004354689455717,0.050770881032224935
76,0.18396717895285963,0.027279553940484647
77,0.14844934972730872,0.033987608162089344
78,0.15890381282497312,0.04198475049522754
79,0.1696995956094849,0.028842616385504893
80,0.17150491045638816,0.03823788352735891
81,0.14221960668923117,0.026740372344069563
82,0.1281985539203223,0.03173146968470375
83,0.17981789351511068,0.02226502384186091
84,0.17051379611623396,0.04452072404823593
85,0.1602013960407378,0.028596182644657908
