date,year,r_qqq,r_tqqq,net_tqqq,net_qqq
2018-01-03,2018,0.002443149783875276,0.0073473708773394986,0.006547370877339498,0.0023931497838752757
2018-01-04,2018,-0.0007475238273220164,-0.002240895524059039,-0.003040895524059039,-0.0007975238273220164
2018-01-08,2018,6.16067028094136e-05,0.00018483149481962613,-0.0006151685051803739,1.1606702809413602e-05
2018-01-26,2018,0.005435909275086415,0.016396535780479393,0.015596535780479393,0.005385909275086415
2018-02-01,2018,-0.002537322239924533,-0.007592669042617017,-0.008392669042617018,-0.0025873222399245333
2018-02-13,2018,-0.0025397216746816387,-0.0075998308471680875,-0.008399830847168088,-0.002589721674681639
2018-02-14,2018,0.010523374930154539,0.031903514423707646,0.031103514423707648,0.010473374930154539
2018-02-16,2018,-0.0007226738934056343,-0.00216645528497017,-0.00296645528497017,-0.0007726738934056343
2018-02-20,2018,0.0014503263234229014,0.004357292360285703,0.003557292360285703,0.0014003263234229014
2018-02-21,2018,-0.001439971200575818,-0.0043136960363567844,-0.005113696036356785,-0.001489971200575818
2018-03-07,2018,-0.003324625979577278,-0.00994075527256899,-0.010740755272568991,-0.0033746259795772783
2018-03-09,2018,0.006635236598568017,0.020038081015207432,0.019238081015207433,0.006585236598568018
2018-03-23,2018,-0.0039850407700324775,-0.011907543944919885,-0.012707543944919885,-0.004035040770032477
2018-04-04,2018,0.026457399103138934,0.08149069923108776,0.08069069923108776,0.026407399103138933
2018-04-09,2018,0.0016315261044175244,0.00490256828846336,0.00410256828846336,0.0015815261044175245
2018-04-12,2018,-0.0012942191544433879,-0.0038776346214922652,-0.004677634621492266,-0.0013442191544433878
2018-04-17,2018,0.0038717483363579497,0.011660274353806566,0.010860274353806565,0.0038217483363579496
2018-04-26,2018,-0.0037108769707268063,-0.011091370189536542,-0.011891370189536543,-0.0037608769707268065
2018-05-10,2018,0.0003551136363637575,0.0010657192709573327,0.0002657192709573326,0.00030511363636375746
2018-05-14,2018,-0.0008211625315268645,-0.0024614652245874558,-0.0032614652245874557,-0.0008711625315268645
2018-05-16,2018,-0.000848789185322607,-0.0025442068382287575,-0.0033442068382287574,-0.0008987891853226071
2018-05-17,2018,-0.0027132240179307265,-0.008117607273705807,-0.008917607273705807,-0.0027632240179307267
2018-06-01,2018,0.0017401647905304074,0.005229584161606793,0.0044295841616067925,0.0016901647905304075
2018-06-05,2018,-0.0007434093898324168,-0.002228570607785363,-0.003028570607785363,-0.0007934093898324168
2018-06-12,2018,-0.0009693790271997349,-0.002905318905425336,-0.003705318905425336,-0.0010193790271997348
2018-06-29,2018,-0.001447345568227898,-0.004335755309014866,-0.005135755309014866,-0.0014973455682278979
2018-07-06,2018,0.0067986230636833955,0.02053484725876631,0.01973484725876631,0.006748623063683396
2018-07-11,2018,-0.002260908885371782,-0.006767403086259782,-0.007567403086259783,-0.002310908885371782
2018-07-12,2018,0.0065656565656566634,0.01982657626669737,0.019026576266697372,0.006515656565656664
2018-07-17,2018,0.007203886748199162,0.021767722050233473,0.020967722050233475,0.007153886748199162
2018-07-20,2018,-0.0017222222222221806,-0.005157773626714546,-0.005957773626714546,-0.0017722222222221805
2018-08-02,2018,0.01208461767726754,0.03669373179822766,0.035893731798227656,0.01203461767726754
2018-08-13,2018,-0.0013482280431432736,-0.004039233423560384,-0.004839233423560385,-0.0013982280431432735
2018-08-21,2018,-0.0009955201592832807,-0.002983588283307803,-0.003783588283307803,-0.0010455201592832807
2018-08-24,2018,-0.0008229098090849485,-0.0024666984428517447,-0.0032666984428517446,-0.0008729098090849485
2018-08-29,2018,0.0035474334856220313,0.010680097951782486,0.009880097951782485,0.003497433485622031
2018-08-31,2018,-0.001323469254071341,-0.003965155367764761,-0.0047651553677647614,-0.001373469254071341
2018-09-20,2018,-0.00043374539145513147,-0.0013006718507743154,-0.0021006718507743153,-0.0004837453914551315
2018-09-27,2018,-0.001931537718639298,-0.005783427848296552,-0.006583427848296552,-0.001981537718639298
2018-09-28,2018,-0.0021526955773163436,-0.0064441944130060325,-0.007244194413006033,-0.0022026955773163438
2018-10-02,2018,-0.0008309878032435325,-0.0024908923613741196,-0.0032908923613741196,-0.0008809878032435325
2018-10-09,2018,-0.002773002052021467,-0.008295958858034136,-0.009095958858034136,-0.0028230020520214672
2018-10-12,2018,-0.0006793008957560742,-0.002036518651610475,-0.002836518651610475,-0.0007293008957560742
2018-11-07,2018,0.008941920644048418,0.027066350744155976,0.026266350744155977,0.008891920644048418
2018-11-26,2018,-0.0021709107828484786,-0.006498604018848941,-0.007298604018848942,-0.0022209107828484787
2018-11-30,2018,-0.0008311564948942918,-0.0024913975955063172,-0.003291397595506317,-0.0008811564948942918
2018-12-12,2018,-0.0007796569509415097,-0.0023371477318672174,-0.0031371477318672173,-0.0008296569509415097
2018-12-14,2018,-0.0017748536097560441,-0.00531511610423574,-0.00611511610423574,-0.001824853609756044
2018-12-18,2018,-0.00169768611670007,-0.005084416828613603,-0.005884416828613603,-0.00174768611670007
2019-01-04,2019,0.00832150690233524,0.02517283938174142,0.02437283938174142,0.008271506902335241
2019-01-07,2019,0.004828155771551934,0.014554513128683721,0.013754513128683721,0.004778155771551934
2019-01-15,2019,-0.0016083137448966722,-0.004817185375565858,-0.005617185375565858,-0.0016583137448966721
2019-01-17,2019,0.005842299131373796,0.017629494183579064,0.016829494183579066,0.005792299131373796
2019-01-25,2019,-0.0009264697867907845,-0.0027768351168067085,-0.0035768351168067084,-0.0009764697867907845
2019-02-04,2019,0.002961909839464427,0.008912074232652722,0.008112074232652722,0.002911909839464427
2019-02-20,2019,-0.0005206525511974869,-0.0015611445574932326,-0.0023611445574932325,-0.0005706525511974869
2019-02-22,2019,-0.002489429481610239,-0.007449712095038641,-0.008249712095038641,-0.0025394294816102393
2019-03-13,2019,0.0003386195609234033,0.0010162027112186056,0.00021620271121860558,0.00028861956092340326
2019-03-15,2019,0.0011235955056179137,0.003374575335936658,0.0025745753359366582,0.0010735955056179137
2019-03-18,2019,-0.0013142074210775734,-0.003937443109617633,-0.004737443109617634,-0.0013642074210775733
2019-03-21,2019,0.00739581608434059,0.022351947076736822,0.021551947076736824,0.00734581608434059
2019-03-26,2019,-0.001275722447168448,-0.0038222870144158927,-0.004622287014415893,-0.001325722447168448
2019-04-10,2019,-0.001296246286794589,-0.003883700275099211,-0.0046837002750992115,-0.0013462462867945889
2019-04-22,2019,0.0014926964495147743,0.004484777102556237,0.0036847771025562367,0.0014426964495147744
2019-05-03,2019,0.003232866620245467,0.009729987928557504,0.008929987928557504,0.003182866620245467
2019-05-15,2019,0.005604087687489656,0.01690665645974665,0.01610665645974665,0.0055540876874896564
2019-06-07,2019,-0.0023687544758442813,-0.0070894437253083975,-0.007889443725308398,-0.0024187544758442815
2019-06-14,2019,-0.0017528483786152238,-0.005249333089117569,-0.00604933308911757,-0.0018028483786152237
2019-06-17,2019,-0.0021179537308568808,-0.006340413509116849,-0.007140413509116849,-0.002167953730856881
2019-06-18,2019,-0.003518498773856571,-0.010518400379134207,-0.011318400379134208,-0.003568498773856571
2019-06-21,2019,-0.001955912671142257,-0.005856268712823853,-0.006656268712823854,-0.002005912671142257
2019-06-27,2019,-0.0001430484864720638,-0.00042908407373487556,-0.0012290840737348755,-0.0001930484864720638
2019-07-02,2019,-0.0012402037100562868,-0.0037159987220053425,-0.004515998722005343,-0.0012902037100562867
2019-07-09,2019,0.004633529907329459,0.013965098000225717,0.013165098000225717,0.004583529907329459
2019-07-24,2019,0.005231149822192416,0.015775687402004523,0.014975687402004523,0.005181149822192416
2019-07-30,2019,-0.0009801392829507094,-0.002937536771403515,-0.003737536771403515,-0.0010301392829507093
2019-08-13,2019,-0.003503742634177409,-0.010474442277881524,-0.011274442277881524,-0.0035537426341774093
2019-08-16,2019,-0.00441097364174281,-0.013174636682763974,-0.013974636682763974,-0.00446097364174281
2019-09-05,2019,-0.0016678828312312044,-0.004995307634049206,-0.005795307634049207,-0.0017178828312312043
2019-09-11,2019,0.0,0.0,-0.0008,-5e-05
2019-09-19,2019,-0.00046451612903231077,-0.0013929011616256037,-0.0021929011616256037,-0.0005145161290323108
2019-10-04,2019,0.006780329266343532,0.02047921810507236,0.019679218105072362,0.0067303292663435325
2019-10-09,2019,-0.0012127901231399063,-0.003633959573615675,-0.004433959573615675,-0.0012627901231399062
2019-10-10,2019,-0.002909283258397344,-0.00870248261192641,-0.00950248261192641,-0.002959283258397344
2019-10-11,2019,-0.0010678751888316684,-0.003200205711997639,-0.004000205711997639,-0.0011178751888316683
2019-10-14,2019,-0.0018597004018998664,-0.005568732180692204,-0.0063687321806922045,-0.0019097004018998663
2019-10-15,2019,-7.751337105643685e-05,-0.00023252208866697543,-0.0010325220886669754,-0.00012751337105643685
2019-10-23,2019,-0.0008599348534201745,-0.002577586732315562,-0.003377586732315562,-0.0009099348534201745
2019-10-25,2019,0.0033851361747960773,0.010189824755926669,0.009389824755926668,0.003335136174796077
2019-11-01,2019,-0.0009580204606158826,-0.002871308851512988,-0.003671308851512988,-0.0010080204606158826
2019-11-07,2019,-0.0010210061081591393,-0.0030598920284100606,-0.0038598920284100605,-0.0010710061081591392
2019-11-12,2019,-0.0015348814180323744,-0.004597580287162062,-0.005397580287162062,-0.0015848814180323743
2019-11-13,2019,-0.0016873449131513674,-0.005053498144981461,-0.005853498144981461,-0.0017373449131513673
2019-11-15,2019,-0.0007896165424665647,-0.0023669796368687157,-0.0031669796368687156,-0.0008396165424665647
2019-11-20,2019,-0.0019817073170732558,-0.005933348242037506,-0.0067333482420375065,-0.002031707317073256
2019-11-25,2019,0.0008824827180466954,0.0026497851686391183,0.0018497851686391184,0.0008324827180466954
2019-12-06,2019,0.0013191967557533157,0.00396281340327298,0.00316281340327298,0.0012691967557533158
2019-12-10,2019,-0.0023446658851112856,-0.007017518170697956,-0.007817518170697957,-0.0023946658851112857
2019-12-16,2019,-0.0008118433619866972,-0.0024335533521044894,-0.0032335533521044893,-0.0008618433619866972
2019-12-19,2019,0.0035467745774815373,0.010678107179195706,0.009878107179195706,0.0034967745774815372
