y,n,pnl,win_pct
2018,89,298.0,37.0
2019,91,-11880.0,36.0
2020,93,27482.0,39.0
2021,98,5974.0,43.0
2022,80,4747.0,36.0
2023,87,23032.0,42.0
2024,96,7580.0,31.0
2025,42,11091.0,48.0
2026,45,2827.0,36.0
