year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
2018,24.59016393442623,5.327868852459016,4.098360655737705,4.918032786885246,6.147540983606557,4.918032786885246,2.459016393442623,2.0491803278688523,1.639344262295082,1.2295081967213115,1.2295081967213115,1.2295081967213115,0.4098360655737705,0.819672131147541,2.0491803278688523,1.2295081967213115,2.0491803278688523,0.4098360655737705,4.508196721311475,3.6885245901639343,2.459016393442623,2.459016393442623,3.278688524590164,1.2295081967213115,2.8688524590163933,12.704918032786885
2019,26.31578947368421,8.906882591093117,10.526315789473683,3.2388663967611335,2.42914979757085,3.643724696356275,1.214574898785425,2.42914979757085,2.834008097165992,2.834008097165992,2.834008097165992,3.2388663967611335,1.6194331983805668,1.214574898785425,2.0242914979757085,0.8097165991902834,1.214574898785425,0.8097165991902834,1.214574898785425,0.8097165991902834,1.6194331983805668,3.2388663967611335,1.6194331983805668,2.0242914979757085,3.2388663967611335,8.097165991902834
2020,27.346938775510203,7.346938775510205,4.489795918367347,3.2653061224489797,4.489795918367347,3.6734693877551026,4.489795918367347,2.857142857142857,2.857142857142857,2.0408163265306123,0.8163265306122449,1.2244897959183674,1.2244897959183674,1.6326530612244898,0.0,0.40816326530612246,2.0408163265306123,1.6326530612244898,2.4489795918367347,1.6326530612244898,1.6326530612244898,1.2244897959183674,0.8163265306122449,4.081632653061225,3.2653061224489797,13.061224489795919
2021,32.1285140562249,4.819277108433735,6.024096385542169,4.417670682730924,4.016064257028113,2.4096385542168677,2.8112449799196786,4.016064257028113,2.8112449799196786,1.6064257028112447,2.0080321285140563,1.6064257028112447,1.6064257028112447,1.6064257028112447,1.2048192771084338,1.2048192771084338,2.4096385542168677,2.8112449799196786,2.4096385542168677,0.4016064257028112,0.8032128514056224,1.6064257028112447,1.2048192771084338,0.8032128514056224,1.6064257028112447,11.646586345381527
2022,20.967741935483872,7.258064516129033,7.258064516129033,2.82258064516129,4.838709677419355,2.4193548387096775,1.6129032258064515,2.4193548387096775,2.4193548387096775,0.8064516129032258,0.4032258064516129,2.82258064516129,1.6129032258064515,2.4193548387096775,1.2096774193548387,0.8064516129032258,1.6129032258064515,2.0161290322580645,1.2096774193548387,1.2096774193548387,3.6290322580645165,3.225806451612903,1.6129032258064515,2.4193548387096775,2.82258064516129,18.14516129032258
2023,26.01626016260163,6.910569105691057,6.504065040650407,3.2520325203252036,4.0650406504065035,3.2520325203252036,2.4390243902439024,1.6260162601626018,2.4390243902439024,3.6585365853658534,2.0325203252032518,1.2195121951219512,0.8130081300813009,1.2195121951219512,0.40650406504065045,1.6260162601626018,2.4390243902439024,2.8455284552845526,1.2195121951219512,1.2195121951219512,1.2195121951219512,1.6260162601626018,1.2195121951219512,3.6585365853658534,3.6585365853658534,13.414634146341465
2024,21.45748987854251,11.336032388663968,7.6923076923076925,3.643724696356275,2.834008097165992,2.42914979757085,4.4534412955465585,1.6194331983805668,2.834008097165992,0.4048582995951417,2.834008097165992,1.6194331983805668,1.6194331983805668,2.0242914979757085,3.2388663967611335,2.0242914979757085,1.214574898785425,1.214574898785425,3.2388663967611335,2.0242914979757085,2.0242914979757085,0.8097165991902834,2.0242914979757085,1.214574898785425,2.834008097165992,11.336032388663968
2025+,25.506072874493928,10.931174089068826,6.0728744939271255,4.8582995951417,4.8582995951417,2.834008097165992,4.048582995951417,1.214574898785425,4.048582995951417,1.6194331983805668,2.42914979757085,1.214574898785425,2.0242914979757085,1.214574898785425,0.8097165991902834,2.42914979757085,2.42914979757085,2.0242914979757085,0.8097165991902834,1.214574898785425,1.6194331983805668,1.6194331983805668,1.6194331983805668,2.42914979757085,2.42914979757085,7.6923076923076925
