minute_index,2018,2019,2020,2021,2022,2023,2024,2025+
0,1.5498259806827503,2.005491918225821,2.032904033688816,1.833502572754817,1.5367275067499548,1.3476775673161383,1.4105526150593162,1.5407904055820811
1,0.6262816454977822,0.7460098992423665,0.6209198176729852,0.6598825692218733,0.6303652796232805,0.6441562087622964,0.6684521598387514,0.76060086544382
2,0.514648600234543,0.6168166651781557,0.565297978965124,0.6122529847620697,0.5705903770990395,0.5902655732081105,0.6203105156488841,0.6140932685923968
3,0.51306172468714,0.5951891064473257,0.6214309283261565,0.6632468737816732,0.5365628486227595,0.5116708480698381,0.5979690846677526,0.5323007047155861
4,0.5083191962708637,0.5692224017506038,0.5957158613748236,0.5961740035094691,0.5173538521503648,0.494611777316069,0.5250110320980025,0.4889048104754084
5,0.5629226297783727,0.5814848264757488,0.582948500952068,0.6794408820158808,0.5986385323973394,0.5140822099064892,0.5405913173811129,0.5825214916999978
6,0.5089031589114712,0.5607838752541157,0.5029121524253423,0.5675919351043062,0.5220192753086399,0.4679426546659169,0.47029021668540716,0.5584172446854522
7,0.42027114946105365,0.502397445745081,0.4613985222546335,0.5488890899577862,0.5260287851311564,0.4797760305459543,0.4574697065368246,0.513241117768823
8,0.44273284496620235,0.49145597937317254,0.449312994941141,0.5034898437544043,0.486906317515858,0.45808933314469996,0.443946658396617,0.4781612819618271
9,0.4551916311781634,0.4882539841136281,0.44762350707609183,0.5112496803823228,0.47234600078244277,0.4339621551665459,0.4103089431472481,0.45172212261502537
10,0.4378815458616298,0.47557282071501045,0.48639806456832385,0.5996438540058713,0.5269905653701054,0.49115546937848203,0.45943773545809874,0.5094447319110794
11,0.4074173816783081,0.4580804983654967,0.4454805958037083,0.5143454007266932,0.5033020706579229,0.43279787049332163,0.41665742569085723,0.4678598672831726
12,0.4408498640320112,0.47005978101094126,0.42295775831904614,0.4656406605156313,0.46597077956707045,0.4293610391672709,0.40220741169527435,0.44839074179725835
13,0.40867558218834704,0.3851401963412104,0.3867900627373903,0.45521341908005863,0.44015165695538044,0.4126614356801877,0.3830023982103766,0.4378573340122788
14,0.4065945432290859,0.396312489890985,0.3675240772995243,0.43841129055106565,0.43676068585666816,0.39703803931415593,0.39699398718476875,0.40255803794632283
15,0.45442701844847677,0.4887709900171488,0.44128519173340236,0.5517525670500192,0.5328286007526467,0.5022828855385286,0.4630748495949076,0.5729957812825469
16,0.40948432088557224,0.4198007701922112,0.39101339535018953,0.5120556815162784,0.4527684749596258,0.4319893761717993,0.43067396959234927,0.4602753777767312
17,0.3986999545307147,0.3895211653890949,0.36856460484443876,0.4561126091422115,0.4213327424856239,0.41536549057125666,0.3922375248879079,0.4483461099736971
18,0.37272372073580284,0.4147608114826851,0.40075153640269745,0.422612972580812,0.4281658361921876,0.40130605504804184,0.39304302156046333,0.44812385907483676
19,0.3911351798178283,0.3789646765203888,0.3704803403370141,0.4327151417069144,0.4096764429971399,0.3787767922688547,0.3777002611006119,0.4363485642365879
20,0.4085378335401159,0.43277405644590405,0.40453339923297166,0.5325357261005322,0.4357899760890328,0.4355199063136839,0.41844655537777253,0.4789620923240485
21,0.38749531086301087,0.40140500515008165,0.39050543406969895,0.42767099561905336,0.420568109276941,0.38840238240880837,0.3866336006424863,0.4260998252861016
22,0.3542091958653858,0.3439699012483118,0.3746786516962638,0.42243008779083335,0.3885058884962865,0.38798028440790006,0.37787826125119517,0.4006226276912874
23,0.36600110319811774,0.33054330669059817,0.3711878106622644,0.3961921343095042,0.37441882788433184,0.3636348644937779,0.3636702922039381,0.4025054967628108
24,0.3526240609191169,0.34357733086693676,0.3718261544036985,0.37410471455902794,0.366413823562288,0.3654293236482971,0.36125167914280554,0.3848265184817468
25,0.35697270836520756,0.35294913686040263,0.3653912232566005,0.4102981064843885,0.375610644639192,0.365203237768864,0.3551765626221501,0.4265579317622017
26,0.34566221669539043,0.3099435391566012,0.3559675060752003,0.4012749300527932,0.3487288689116251,0.374995180453623,0.33663285710662105,0.3803724015724935
27,0.3323400150759669,0.3273989186999109,0.3479333988616529,0.4065522771526267,0.361349571323632,0.3366052788803317,0.3321743512001215,0.3681255180843642
28,0.3339313884915647,0.35700107227168365,0.3404406625143883,0.36817580488754414,0.3292849386602512,0.3179099301094699,0.3158386312301898,0.3386397213411426
